,,jona31:LASI,,,jona31:RASI,,,jona31:LPSI,,,jona31:RPSI,,,jona31:LTHI,,,jona31:LKNE,,,jona31:LTIB,,,jona31:LANK,,,jona31:LHEE,,,jona31:LTOE,,,jona31:RTHI,,,jona31:RKNE,,,jona31:RTIB,,,jona31:RANK,,,jona31:RHEE,,,jona31:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
23,0,-123.712158,-1022.482849,852.384277,43.808899,-1151.066895,866.331543,-254.317291,-1210.983032,949.455750,-135.375931,-1315.897949,953.181885,-272.951263,-1107.208862,654.805054,-338.751099,-1221.338867,486.486481,-417.737915,-1337.167114,317.058502,-442.562012,-1389.083008,175.016846,-414.048676,-1446.309814,177.523743,-419.247681,-1230.150879,46.117027,57.412708,-1262.776489,642.134827,24.157347,-1236.510132,463.149384,-4.673952,-1271.781250,272.422333,-44.491772,-1291.002319,102.204636,,,,-41.234589,-1078.971924,62.022434
24,0,-123.855927,-1022.544373,852.453979,43.736477,-1151.010620,866.432434,-254.258484,-1211.175781,949.616821,-135.224884,-1315.986572,953.326843,-273.069061,-1107.426025,654.919006,-338.689117,-1221.605347,486.599518,-417.631531,-1337.277710,317.146210,-442.380310,-1389.163208,175.004364,-413.841034,-1446.381958,177.465973,-419.253082,-1230.081787,46.083370,57.465225,-1262.583618,642.222290,24.193996,-1236.235596,463.257172,-4.645982,-1271.541870,272.470459,-44.478855,-1290.921509,102.273010,,,,-41.230282,-1078.939331,62.011566
25,0,-124.046143,-1022.629395,852.542114,43.643917,-1150.940430,866.559021,-254.181122,-1211.432251,949.826477,-135.025848,-1316.105469,953.513367,-273.227081,-1107.719727,655.069336,-338.618744,-1221.958252,486.744446,-417.499176,-1337.432129,317.261353,-442.149902,-1389.267822,174.990997,-413.577759,-1446.475342,177.393997,-419.260590,-1229.992432,46.040749,57.532871,-1262.336548,642.334412,24.241566,-1235.882568,463.396851,-4.609144,-1271.233276,272.533875,-44.462624,-1290.815552,102.365089,,,,-41.224110,-1078.897583,61.997784
26,0,-124.278641,-1022.738098,852.644104,43.535168,-1150.859863,866.704529,-254.087128,-1211.747437,950.077820,-134.783569,-1316.253662,953.734497,-273.423126,-1108.087036,655.252380,-338.548218,-1222.390625,486.915405,-417.348541,-1337.632324,317.400787,-441.881500,-1389.393433,174.978806,-413.271210,-1446.586914,177.311920,-419.270294,-1229.885986,45.991215,57.613194,-1262.045532,642.466797,24.298496,-1235.464600,463.563629,-4.564395,-1270.867065,272.610901,-44.443981,-1290.687744,102.479614,,,,-41.215988,-1078.849121,61.981747
27,0,-124.545807,-1022.869446,852.753845,43.416004,-1150.774048,866.859497,-253.979706,-1212.111938,950.360229,-134.506287,-1316.426880,953.979553,-273.652222,-1108.520020,655.461670,-338.487335,-1222.888428,487.103668,-417.189941,-1337.876709,317.559296,-441.590454,-1389.535522,174.970093,-412.938873,-1446.711914,177.225220,-419.282196,-1229.767578,45.937702,57.702526,-1261.725342,642.612427,24.362349,-1235.002319,463.749756,-4.513447,-1270.460571,272.698608,-44.424244,-1290.542969,102.613342,,,,-41.205971,-1078.796143,61.964390
28,0,-124.838509,-1023.021240,852.864624,43.292892,-1150.688232,867.013733,-253.862595,-1212.514771,950.661316,-134.203598,-1316.620605,954.236206,-273.907928,-1109.007935,655.689209,-338.445953,-1223.435059,487.299316,-417.034515,-1338.162109,317.730682,-441.293304,-1389.688232,174.966827,-412.599792,-1446.844360,177.139587,-419.296082,-1229.643188,45.883408,57.796906,-1261.392212,642.763672,24.430374,-1234.518677,463.946350,-4.458415,-1270.033813,272.793213,-44.404961,-1290.387329,102.761772,,,,-41.194256,-1078.741943,61.946751
29,0,-125.147667,-1023.190857,852.969910,43.172089,-1150.606934,867.157776,-253.739334,-1212.943848,950.968872,-133.884750,-1316.829590,954.492615,-274.183594,-1109.539429,655.927307,-338.432922,-1224.013062,487.492767,-416.892456,-1338.484619,317.908600,-441.005707,-1389.846191,174.970459,-412.272095,-1446.979126,177.060074,-419.311859,-1229.519409,45.831394,57.892776,-1261.061646,642.912537,24.499989,-1234.035767,464.144226,-4.401532,-1269.606201,272.890503,-44.387772,-1290.226807,102.919662,,,,-41.181171,-1078.689209,61.929836
30,0,-125.465240,-1023.376099,853.064148,43.059097,-1150.533569,867.283142,-253.612732,-1213.388916,951.271973,-133.557358,-1317.049072,954.738464,-274.473145,-1110.103394,656.168335,-338.454865,-1224.607666,487.675537,-416.772278,-1338.840210,318.087189,-440.740784,-1390.005005,174.981628,-411.970825,-1447.111816,176.990387,-419.329407,-1229.401733,45.784229,57.987431,-1260.746094,643.052002,24.569077,-1233.572266,464.334900,-4.344946,-1269.194458,272.986481,-44.374279,-1290.067627,103.081406,,,,-41.167164,-1078.640625,61.914524
31,0,-125.784828,-1023.574463,853.142944,42.958385,-1150.469482,867.383667,-253.484604,-1213.842041,951.561768,-133.226868,-1317.274780,954.965210,-274.771393,-1110.690430,656.406189,-338.516449,-1225.206299,487.840851,-416.680115,-1339.224243,318.261505,-440.508392,-1390.161377,174.999924,-411.707153,-1447.239380,176.932632,-419.348541,-1229.295288,45.743816,58.079323,-1260.454590,643.175842,24.636215,-1233.142700,464.510986,-4.290591,-1268.812256,273.076996,-44.366016,-1289.914795,103.241295,,,,-41.152744,-1078.597656,61.901508
32,0,-126.101791,-1023.783691,853.203186,42.873363,-1150.414185,867.454468,-253.355804,-1214.296997,951.831421,-132.896271,-1317.503174,955.166626,-275.074341,-1111.293091,656.635437,-338.619843,-1225.799194,487.983521,-416.619965,-1339.632568,318.427216,-440.314758,-1390.314087,175.023941,-411.488434,-1447.359741,176.886932,-419.369171,-1229.204468,45.711361,58.168133,-1260.192261,643.278931,24.700727,-1232.756958,464.666199,-4.240123,-1268.469727,273.158234,-44.364388,-1289.772339,103.393646,,,,-41.138504,-1078.561768,61.891319
